sales(mio)
277.34
208.39
204.99
170.51
188.3
322.1
225.89
573.32
469.57
28.33
2.3
115.42
80.04
43.58
51.93
72.15
91.55
229.18
144.73
111.33
64.74
56.94
327.14
245.81
241.8
201.13
222.12
379.95
266.46
676.28
553.9
14.24
1.16
153.87
106.71
58.1
69.23
96.19
94.76
237.2
149.8
115.23
67.0
58.94
465.88
350.06
344.35
286.43
316.32
541.08
379.46
963.09
788.81
9.78
0.79
191.09
132.52
72.15
85.97
119.45
133.91
335.2
211.68
162.83
94.69
83.29
